"RowID","Zipcode","Population","Median Age","Household Income","Per Capita Income","Poverty Count","Poverty Rate","State","Latitude","Longitude","GeoInfo","StandardZip","StandardZip4","ZipClass","CountySSA"
1482,"95646",73.00,30.50,58125.00,29979.00,32.00,43.83,"CA",38698479,120077300,"Zip-Point","95646",,"Rural","05020"
1483,"95648",51276.00,43.00,78716.00,36199.00,3918.00,7.64,"CA",38890481,121291941,"Zip-Distributive","95648",,"Rural","05410"
1484,"95650",13192.00,48.00,88729.00,42318.00,906.00,6.86,"CA",38821582,121173025,"Zip-Distributive","95650",,"Rural","05410"
1485,"95651",778.00,53.20,77759.00,47363.00,25.00,3.21,"CA",38808231,120931058,"Zip-Distributive","95651",,"Rural","05080"
1486,"95652",876.00,37.00,27208.00,15710.00,503.00,57.42,"CA",38656176,121390638,"Zip-Distributive","95652",,"Rural","05440"
1487,"95653",727.00,30.70,59583.00,18944.00,22.00,3.02,"CA",38679302,121969197,"Zip-Distributive","95653",,"Rural","05670"
1488,"95655",4091.00,35.40,78375.00,31035.00,827.00,20.21,"CA",38568979,121294772,"Zip-Distributive","95655",,"Rural","05440"
1489,"95658",6811.00,48.50,78790.00,44050.00,375.00,5.50,"CA",38883478,121143363,"Zip-Distributive","95658",,"Rural","05410"
1490,"95659",853.00,40.00,52153.00,33339.00,104.00,12.19,"CA",38902333,121580709,"Zip-Distributive","95659",,"Rural","05610"
1491,"95660",35397.00,31.30,41116.00,16619.00,9520.00,26.89,"CA",38681550,121377724,"Zip-Distributive","95660",,"Urban","05440"
1492,"95661",31085.00,41.50,78119.00,40805.00,2872.00,9.23,"CA",38741072,121249098,"Zip-Distributive","95661",,"Urban","05410"
1493,"95662",31738.00,40.90,75554.00,34397.00,2925.00,9.21,"CA",38682315,121219047,"Zip-Distributive","95662",,"Suburban","05440"
1494,"95663",2573.00,47.10,102826.00,45677.00,189.00,7.34,"CA",38852120,121169413,"Zip-Distributive","95663",,"Rural","05410"
1495,"95664",1372.00,39.30,52788.00,26509.00,28.00,2.04,"CA",38819885,121027614,"Zip-Distributive","95664",,"Rural","05080"
1496,"95665",5267.00,49.20,68388.00,35138.00,611.00,11.60,"CA",38406532,120647649,"Zip-Distributive","95665",,"Rural","05020"
1497,"95666",4985.00,59.20,51801.00,33109.00,612.00,12.27,"CA",38449332,120543768,"Zip-Distributive","95666",,"Rural","05020"
